Name,District,Municipality,Township,Line
"Ponte de Sôr,PORTALEGRE,PONTE DE SOR,""Ponte de Sor, Tramaga e Vale de Açor"",Linha do Leste"
"Coina,SETÚBAL,SEIXAL,""Seixal, Arrentela e Aldeia de Paio Pires"",Linha do Sul"
Arrifana,AVEIRO,SANTA MARIA DA FEIRA,Arrifana,Linha do Vouga
Pocinho,GUARDA,VILA NOVA DE FOZ CÔA,Vila Nova de Foz Côa,Linha do Douro
Fuseta,FARO,OLHÃO,Moncarapacho e Fuseta,Linha do Algarve
Ourique,BEJA,CASTRO VERDE,Castro Verde e Casével,Linha do Alentejo
Monte das Flores,ÉVORA,ÉVORA,Malagueira e Horta das Figueiras,Linha de Évora
Alcantarilha,FARO,SILVES,Alcantarilha e Pêra,Linha do Algarve
Poço Barreto,FARO,SILVES,Silves,Linha do Algarve
Paredes,PORTO,PAREDES,Paredes,Linha do Douro
















































































































































































































